text,sentiment,contains_unusual,tokens
this is the first phone ive had that has been so cheaply made,0,False,"['first', 'phone', 'ive', 'cheaply', 'made']"
att is not clear sound is very distorted and you have to yell when you talk,0,False,"['att', 'clear', 'sound', 'distorted', 'yell', 'talk']"
the plastic breaks really easy on this clip,0,False,"['plastic', 'breaks', 'really', 'easy', 'clip']"
price is good too,1,False,"['price', 'good']"
dont make the same mistake i did,0,False,"['dont', 'make', 'mistake']"
oh and i forgot to also mention the weird color effect it has on your phone,0,False,"['oh', 'forgot', 'also', 'mention', 'weird', 'color', 'effect', 'phone']"
im using it with an iriver spinn with case and it fits fine,1,False,"['im', 'using', 'iriver', 'spinn', 'case', 'fits', 'fine']"
also the area where my unit broke im not too fond of the magnetic strap,0,False,"['also', 'area', 'unit', 'broke', 'im', 'fond', 'magnetic', 'strap']"
overall i am psyched to have a phone which has all my appointments and contacts in and gets great reception,1,False,"['overall', 'psyched', 'phone', 'appointments', 'contacts', 'gets', 'great', 'reception']"
every thing on phone work perfectly she like it,1,False,"['every', 'thing', 'phone', 'work', 'perfectly', 'like']"
another note about this phones appearance is that it really looks rather bland especially in the all black model,0,False,"['another', 'note', 'phones', 'appearance', 'really', 'looks', 'rather', 'bland', 'especially', 'black', 'model']"
its really easy,1,False,"['really', 'easy']"
my sanyo has survived dozens of drops on blacktop without ill effect,1,False,"['sanyo', 'survived', 'dozens', 'drops', 'blacktop', 'without', 'ill', 'effect']"
fantastic earphones,1,False,"['fantastic', 'earphones']"
it finds my cell phone right away when i enter the car,1,False,"['finds', 'cell', 'phone', 'right', 'away', 'enter', 'car']"
low quality,0,False,"['low', 'quality']"
i highly recommend this modest priced cellular phone,1,False,"['highly', 'recommend', 'modest', 'priced', 'cellular', 'phone']"
but it does get better reception and clarity than any phone ive had before,1,False,"['get', 'better', 'reception', 'clarity', 'phone', 'ive']"
warning  stay away,0,False,"['warning', 'stay', 'away']"
i wish i could return the unit and get back my money,0,False,"['wish', 'could', 'return', 'unit', 'get', 'back', 'money']"
awsome device works great,1,False,"['awsome', 'device', 'works', 'great']"
i used to talk on it for 1  1 12 hours and the battery would be literally drained and dying,0,False,"['used', 'talk', '1', '1', '12', 'hours', 'battery', 'would', 'literally', 'drained', 'dying']"
if you dont find it too bad as again the unit comes with one earpad onlyi would not recommend this to anyone,0,False,"['dont', 'find', 'bad', 'unit', 'comes', 'one', 'earpad', 'onlyi', 'would', 'recommend', 'anyone']"
very displeased,0,False,['displeased']
i might have gotten a defect but i would not risk buying it again because of the built quality alone,0,False,"['might', 'gotten', 'defect', 'would', 'risk', 'buying', 'built', 'quality', 'alone']"
they made this case too small and is very difficult to install,0,False,"['made', 'case', 'small', 'difficult', 'install']"
restored my phone to like new performance,1,False,"['restored', 'phone', 'like', 'new', 'performance']"
i would recommend purchasing the jabra jx10 series 2 which works flawlessly with my moto q go figure,1,False,"['would', 'recommend', 'purchasing', 'jabra', 'jx10', 'series', '2', 'works', 'flawlessly', 'moto', 'q', 'go', 'figure']"
i searched the internet and found this one to be the best value,1,False,"['searched', 'internet', 'found', 'one', 'best', 'value']"
does not fit,0,False,['fit']
very happy with this product,1,False,"['happy', 'product']"
the screen size is big key pad lit well enough and the camera quality is excellent for a camera phone,1,False,"['screen', 'size', 'big', 'key', 'pad', 'lit', 'well', 'enough', 'camera', 'quality', 'excellent', 'camera', 'phone']"
theres really nothing bad i can say about this headset,0,False,"['theres', 'really', 'nothing', 'bad', 'say', 'headset']"
im glad i found this product on amazon it is hard to find it wasnt high priced,1,False,"['im', 'glad', 'found', 'product', 'amazon', 'hard', 'find', 'wasnt', 'high', 'priced']"
portable and it works,1,False,"['portable', 'works']"
my colleague  i now get great receptiona little expensive but performance is great,1,False,"['colleague', 'get', 'great', 'receptiona', 'little', 'expensive', 'performance', 'great']"
i even fully charged it before i went to bed and turned off blue tooth and wifi and noticed that it only had 20  left in the morning,0,False,"['even', 'fully', 'charged', 'went', 'bed', 'turned', 'blue', 'tooth', 'wifi', 'noticed', '20', 'left', 'morning']"
ive also had problems with the phone reading the memory card in which i always turn it on and then off again,0,False,"['ive', 'also', 'problems', 'phone', 'reading', 'memory', 'card', 'always', 'turn']"
not good when wearing a hat or sunglasses,0,False,"['good', 'wearing', 'hat', 'sunglasses']"
timely shipment and quality product,1,False,"['timely', 'shipment', 'quality', 'product']"
nice solid keyboard,1,False,"['nice', 'solid', 'keyboard']"
very well made and fits my surefire gx2 perfectly,1,False,"['well', 'made', 'fits', 'surefire', 'gx2', 'perfectly']"
horrible phone,0,False,"['horrible', 'phone']"
bt50 battery junk,0,False,"['bt50', 'battery', 'junk']"
we would recommend these to others,1,False,"['would', 'recommend', 'others']"
cant get the software to work with my computer,0,False,"['cant', 'get', 'software', 'work', 'computer']"
disappointed,0,False,['disappointed']
poor voice clarity,0,False,"['poor', 'voice', 'clarity']"
the battery works great,1,False,"['battery', 'works', 'great']"
no buyers remorse on this one,0,False,"['buyers', 'remorse', 'one']"
very disappointed in accessoryone,0,False,"['disappointed', 'accessoryone']"
i find this inexcusable and so will probably be returning this phone and perhaps changing carriers,0,False,"['find', 'inexcusable', 'probably', 'returning', 'phone', 'perhaps', 'changing', 'carriers']"
looks great and is strong,1,False,"['looks', 'great', 'strong']"
i have had tmobile service for 2 or 3 years now and i am pretty happy with it,1,False,"['tmobile', 'service', '2', '3', 'years', 'pretty', 'happy']"
the update procedure is difficult and cumbersome,0,False,"['update', 'procedure', 'difficult', 'cumbersome']"
disappointment i hate anything that goes in my ear,0,False,"['disappointment', 'hate', 'anything', 'goes', 'ear']"
great software for motorolas,1,False,"['great', 'software', 'motorolas']"
the delivery was on time,1,False,"['delivery', 'time']"
very easy to use,1,False,"['easy', 'use']"
uncomfortable in the ear dont use with lg vx9900 env,0,False,"['uncomfortable', 'ear', 'dont', 'use', 'lg', 'vx9900', 'env']"
the volume switch rocketed out of the unit to a destination unknown,0,False,"['volume', 'switch', 'rocketed', 'unit', 'destination', 'unknown']"
it holds a charge for a long time is reasonably comfortable under longwearing conditions and the quality of sound is tremendous,1,False,"['holds', 'charge', 'long', 'time', 'reasonably', 'comfortable', 'longwearing', 'conditions', 'quality', 'sound', 'tremendous']"
id like to return it,0,False,"['id', 'like', 'return']"
the keyboard is really worthwhile in usefulness and is sturdy enough i dont expect any problems,1,False,"['keyboard', 'really', 'worthwhile', 'usefulness', 'sturdy', 'enough', 'dont', 'expect', 'problems']"
verizons bills however are difficult to understand even though their pricing plans are simple,0,False,"['verizons', 'bills', 'however', 'difficult', 'understand', 'even', 'though', 'pricing', 'plans', 'simple']"
after charging overnight these batteries work great,1,False,"['charging', 'overnight', 'batteries', 'work', 'great']"
you wont regret it,1,False,"['wont', 'regret']"
i love this phone,1,False,"['love', 'phone']"
a disappointment,0,False,['disappointment']
its not user friendly,0,False,"['user', 'friendly']"
unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect,0,False,"['unfortunately', 'ability', 'actually', 'know', 'receiving', 'call', 'rather', 'important', 'feature', 'phone', 'pitiful', 'respect']"
then i exchanged for the same phone even that had the same problem,0,False,"['exchanged', 'phone', 'even', 'problem']"
this results in the phone being either stuck at max volume or mute,0,False,"['results', 'phone', 'either', 'stuck', 'max', 'volume', 'mute']"
this pda rocks,1,False,"['pda', 'rocks']"
it is super charged up for use as a small hybrid palmtopcameracellphone and excels in those roles,1,False,"['super', 'charged', 'use', 'small', 'hybrid', 'palmtopcameracellphone', 'excels', 'roles']"
i would definitely recommend the jabra bt250v for those who are looking for comfort clarity and a great price,1,False,"['would', 'definitely', 'recommend', 'jabra', 'bt250v', 'looking', 'comfort', 'clarity', 'great', 'price']"
i had verizon 2 years ago and really liked their service,1,False,"['verizon', '2', 'years', 'ago', 'really', 'liked', 'service']"
pretty piece of junk,0,False,"['pretty', 'piece', 'junk']"
plug was the wrong size,0,False,"['plug', 'wrong', 'size']"
works as described,1,False,"['works', 'described']"
save your money ive had this item for 11 months now,0,False,"['save', 'money', 'ive', 'item', '11', 'months']"
bad purchase,0,False,"['bad', 'purchase']"
well im satisfied,1,False,"['well', 'im', 'satisfied']"
the bose noise cancelling is amazing which is very important for a nyc commuter,1,False,"['bose', 'noise', 'cancelling', 'amazing', 'important', 'nyc', 'commuter']"
this battery is an excellent bargain,1,False,"['battery', 'excellent', 'bargain']"
defective crap,0,False,"['defective', 'crap']"
i would have given no star if i was able,0,False,"['would', 'given', 'star', 'able']"
i wear glasses and it fits fine with them,1,False,"['wear', 'glasses', 'fits', 'fine']"
the sound quality for the device is unacceptableunless you are in a really quiet area you almost hear nothing,0,False,"['sound', 'quality', 'device', 'unacceptableunless', 'really', 'quiet', 'area', 'almost', 'hear', 'nothing']"
i would not recommend this item to anyone,0,False,"['would', 'recommend', 'item', 'anyone']"
the holster that arrived did not match the photo in the ad,0,False,"['holster', 'arrived', 'match', 'photo', 'ad']"
greatno problems at all,1,False,"['greatno', 'problems']"
as an earlier review noted plug in this charger and nothing happens,0,False,"['earlier', 'review', 'noted', 'plug', 'charger', 'nothing', 'happens']"
this frog phone charm is adorable and very eye catching,1,False,"['frog', 'phone', 'charm', 'adorable', 'eye', 'catching']"
you never know if you pushed it hard enough or the right number of times for the function you want or not,0,False,"['never', 'know', 'pushed', 'hard', 'enough', 'right', 'number', 'times', 'function', 'want']"
the sound is clear and the people i talk to on it are amazed at the quality too,1,False,"['sound', 'clear', 'people', 'talk', 'amazed', 'quality']"
i got the aluminum case for my new palm vx and it worked really wellit has protected my handheld perfectly so far,1,False,"['got', 'aluminum', 'case', 'new', 'palm', 'vx', 'worked', 'really', 'wellit', 'protected', 'handheld', 'perfectly', 'far']"
very good product well made,1,False,"['good', 'product', 'well', 'made']"
mobile phone tools are a must have,1,False,"['mobile', 'phone', 'tools', 'must']"
i am very impressed with the job that motorola did on the sturdiness of this phone,1,False,"['impressed', 'job', 'motorola', 'sturdiness', 'phone']"
i received my orders well within the shipping timeframe everything was in good working order and overall i am very excited to have this source,1,False,"['received', 'orders', 'well', 'within', 'shipping', 'timeframe', 'everything', 'good', 'working', 'order', 'overall', 'excited', 'source']"
the phone is sturdy and waterproof,1,False,"['phone', 'sturdy', 'waterproof']"
i am not impressed with this and i would not recommend this item to anyone,0,False,"['impressed', 'would', 'recommend', 'item', 'anyone']"
my only complaint is the standard sound volume is a little low even when turned up to 5of 5,0,False,"['complaint', 'standard', 'sound', 'volume', 'little', 'low', 'even', 'turned', '5of', '5']"
thanks again to amazon for having the things i need for a good price,1,False,"['thanks', 'amazon', 'things', 'need', 'good', 'price']"
i ended up sliding it on the edge of my pants or back pockets instead,1,False,"['ended', 'sliding', 'edge', 'pants', 'back', 'pockets', 'instead']"
i had to go to a store and bought a new nokia phone which is working great,1,False,"['go', 'store', 'bought', 'new', 'nokia', 'phone', 'working', 'great']"
works great,1,False,"['works', 'great']"
really ugly,0,False,"['really', 'ugly']"
horrible had to switch 3 times,0,False,"['horrible', 'switch', '3', 'times']"
the noise shield is incrediable,1,False,"['noise', 'shield', 'incrediable']"
no real improvement,0,False,"['real', 'improvement']"
razr battery  good buy,1,False,"['razr', 'battery', 'good', 'buy']"
keep up the good work amazon,1,False,"['keep', 'good', 'work', 'amazon']"
they refuse to refund or replace,0,False,"['refuse', 'refund', 'replace']"
unfortunately its easy to accidentally activate them with the gentletouch buttons if you accidentally touch the phone to your face while listening,0,False,"['unfortunately', 'easy', 'accidentally', 'activate', 'gentletouch', 'buttons', 'accidentally', 'touch', 'phone', 'face', 'listening']"
so i basically threw my money out the window for nothing,0,False,"['basically', 'threw', 'money', 'window', 'nothing']"
great case and price,1,False,"['great', 'case', 'price']"
all it took was one drop from about 6 inches above the kitchen counter and it was crackedi am not impressed and i am not laughing,0,False,"['took', 'one', 'drop', '6', 'inches', 'kitchen', 'counter', 'crackedi', 'impressed', 'laughing']"
bluetooth range is good  a few days ago i left my phone in the trunk got a call and carried the conversation without a hitch,1,False,"['bluetooth', 'range', 'good', 'days', 'ago', 'left', 'phone', 'trunk', 'got', 'call', 'carried', 'conversation', 'without', 'hitch']"
small sleek impressive looking practical setup with ample storage in place,1,False,"['small', 'sleek', 'impressive', 'looking', 'practical', 'setup', 'ample', 'storage', 'place']"
the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity,1,False,"['eargels', 'channel', 'sound', 'directly', 'ear', 'seem', 'increase', 'sound', 'volume', 'clarity']"
none of the new ones have ever quite worked properly,0,False,"['none', 'new', 'ones', 'ever', 'quite', 'worked', 'properly']"
i am glad i purchased it,1,False,"['glad', 'purchased']"
ive missed numerous calls because of this reason,0,False,"['ive', 'missed', 'numerous', 'calls', 'reason']"
perhaps my phone is defective but people cannot hear me when i use this,0,False,"['perhaps', 'phone', 'defective', 'people', 'cannot', 'hear', 'use']"
dont buy this product,0,False,"['dont', 'buy', 'product']"
sucked most of the stuff does not work with my phone,0,False,"['sucked', 'stuff', 'work', 'phone']"
no shifting no bubbling no peeling not even a scratch nothingi couldnt be more happier with my new one for the droid,1,False,"['shifting', 'bubbling', 'peeling', 'even', 'scratch', 'nothingi', 'couldnt', 'happier', 'new', 'one', 'droid']"
worst software ever used if i could give this zero stars i would,0,False,"['worst', 'software', 'ever', 'used', 'could', 'give', 'zero', 'stars', 'would']"
trying to make a call on these is an exercise in frustration,0,False,"['trying', 'make', 'call', 'exercise', 'frustration']"
the case is a flimsy piece of plastic and has no front or side protection whatsoever,0,False,"['case', 'flimsy', 'piece', 'plastic', 'front', 'side', 'protection', 'whatsoever']"
i own a jabra earset and was very happy with it but the sound quality especially outgoing on this is better,1,False,"['jabra', 'earset', 'happy', 'sound', 'quality', 'especially', 'outgoing', 'better']"
i love the camera its really pretty good quality,1,False,"['love', 'camera', 'really', 'pretty', 'good', 'quality']"
thank you for such great service,1,False,"['thank', 'great', 'service']"
its a total package,1,False,"['total', 'package']"
the seller is very understanding and patient i would definitely buy from them again,1,False,"['seller', 'understanding', 'patient', 'would', 'definitely', 'buy']"
i give wirefly 1 stari will contact cingularatt and inform them of this practice,0,False,"['give', 'wirefly', '1', 'stari', 'contact', 'cingularatt', 'inform', 'practice']"
its aggravating,0,False,['aggravating']
great product for the price,1,False,"['great', 'product', 'price']"
i have purchased these for both family and friends and all enjoy their clarity and ease of use,1,False,"['purchased', 'family', 'friends', 'enjoy', 'clarity', 'ease', 'use']"
virgin wireless rocks and so does this cheap little phone,1,False,"['virgin', 'wireless', 'rocks', 'cheap', 'little', 'phone']"
none of it works just dont buy it,0,False,"['none', 'works', 'dont', 'buy']"
muddy low quality sound and the casing around the wires insert was poorly super glued and slid off,0,False,"['muddy', 'low', 'quality', 'sound', 'casing', 'around', 'wires', 'insert', 'poorly', 'super', 'glued', 'slid']"
please dont waste your money,0,False,"['please', 'dont', 'waste', 'money']"
all in all im quite satisfied with this purchase,1,False,"['im', 'quite', 'satisfied', 'purchase']"
if you are looking for a good quality motorola headset keep looking this isnt it,0,False,"['looking', 'good', 'quality', 'motorola', 'headset', 'keep', 'looking', 'isnt']"
yet plantronincs continues to use the same flawed charger design,0,False,"['yet', 'plantronincs', 'continues', 'use', 'flawed', 'charger', 'design']"
disapointing results,0,False,"['disapointing', 'results']"
cumbersome design,0,False,"['cumbersome', 'design']"
great it was new packaged nice works good no problems and it came in less time then i expected,1,False,"['great', 'new', 'packaged', 'nice', 'works', 'good', 'problems', 'came', 'less', 'time', 'expected']"
great product,1,False,"['great', 'product']"
its a piece of crap,0,False,"['piece', 'crap']"
my experience was terrible this was my fourth bluetooth headset and while it was much more comfortable than my last jabra which i hated,0,False,"['experience', 'terrible', 'fourth', 'bluetooth', 'headset', 'much', 'comfortable', 'last', 'jabra', 'hated']"
this fixes all the problems,1,False,"['fixes', 'problems']"
worst ever,0,False,"['worst', 'ever']"
i am very happy,1,False,['happy']
ive had no trouble accessing the internet downloading ringtones or performing any of the functions,1,False,"['ive', 'trouble', 'accessing', 'internet', 'downloading', 'ringtones', 'performing', 'functions']"
i can barely ever hear on it and am constantly saying what,0,False,"['barely', 'ever', 'hear', 'constantly', 'saying']"
the battery life is highly unacceptable,0,False,"['battery', 'life', 'highly', 'unacceptable']"
that company is a joke,0,False,"['company', 'joke']"
it does everything the description said it would,1,False,"['everything', 'description', 'said', 'would']"
due to this happening on every call i was forced to stop using this headset,0,False,"['due', 'happening', 'every', 'call', 'forced', 'stop', 'using', 'headset']"
it works great with a car charger especially if you cannot plug in two adapters at the same time,1,False,"['works', 'great', 'car', 'charger', 'especially', 'cannot', 'plug', 'two', 'adapters', 'time']"
verizon tech support walked my through a few procedures none of which worked and i ended up having to do a hard reset wiping out all my data,0,False,"['verizon', 'tech', 'support', 'walked', 'procedures', 'none', 'worked', 'ended', 'hard', 'reset', 'wiping', 'data']"
voice quality signal strength dropped calls,0,False,"['voice', 'quality', 'signal', 'strength', 'dropped', 'calls']"
it plays louder than any other speaker of this size the price is so low that most would think the quality is lacking however its not,1,False,"['plays', 'louder', 'speaker', 'size', 'price', 'low', 'would', 'think', 'quality', 'lacking', 'however']"
better than expected,1,False,"['better', 'expected']"
it feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them,0,False,"['feels', 'poorly', 'constructed', 'menus', 'difficult', 'navigate', 'buttons', 'recessed', 'difficult', 'push']"
battery is holding up well,1,False,"['battery', 'holding', 'well']"
also difficult to put onid recommend avoiding this product,0,False,"['also', 'difficult', 'put', 'onid', 'recommend', 'avoiding', 'product']"
i only used it two days and it wasnt always easy to hear with,0,False,"['used', 'two', 'days', 'wasnt', 'always', 'easy', 'hear']"
i got the car charger and not even after a week the charger was brokeni went to plug it in and it started smoking,0,False,"['got', 'car', 'charger', 'even', 'week', 'charger', 'brokeni', 'went', 'plug', 'started', 'smoking']"
sprint  terrible customer service,0,False,"['sprint', 'terrible', 'customer', 'service']"
linked to my phone without effort,1,False,"['linked', 'phone', 'without', 'effort']"
they are so cool,1,False,['cool']
easy to use,1,False,"['easy', 'use']"
better than new,1,False,"['better', 'new']"
what possesed me to get this junk i have no idea,0,False,"['possesed', 'get', 'junk', 'idea']"
piece of trash,0,False,"['piece', 'trash']"
a pretty good product,1,False,"['pretty', 'good', 'product']"
this is a great phone,1,False,"['great', 'phone']"
for the price on amazon it is an excellent product which i would highly recommend,1,False,"['price', 'amazon', 'excellent', 'product', 'would', 'highly', 'recommend']"
their research and development division obviously knows what theyre doing,1,False,"['research', 'development', 'division', 'obviously', 'knows', 'theyre']"
the real killer is the volume and of course it breaking,0,False,"['real', 'killer', 'volume', 'course', 'breaking']"
those phones are working just fine now,1,False,"['phones', 'working', 'fine']"
i am more than happy with this product,1,False,"['happy', 'product']"
poor construction,0,False,"['poor', 'construction']"
this is infuriating,0,False,['infuriating']
overall i would recommend this phone over the new walkman,1,False,"['overall', 'would', 'recommend', 'phone', 'new', 'walkman']"
sprint charges for this service,0,False,"['sprint', 'charges', 'service']"
it is cheap and it feel and look just as cheap,0,False,"['cheap', 'feel', 'look', 'cheap']"
it fits my ear well and is comfortable on,1,False,"['fits', 'ear', 'well', 'comfortable']"
it doesnt work in europe or asia,0,False,"['doesnt', 'work', 'europe', 'asia']"
clipping this to your belt will deffinitely make you feel like 50 cents upandcoming,1,False,"['clipping', 'belt', 'deffinitely', 'make', 'feel', 'like', '50', 'cents', 'upandcoming']"
i like design and look of jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear,1,False,"['like', 'design', 'look', 'jabra', 'behing', 'ear', 'headsets', '5020', 'pretty', 'comfortible', 'wear', '24', 'hours', 'day', 'without', 'pain', 'ear']"
i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price,1,False,"['amazed', 'quick', 'arrival', 'two', 'original', 'lg', 'cell', 'phone', 'batteries', 'fraction', 'price']"
the worst phone from samsungcrap this crappy samsung e715 is the worst i have ever seeen,0,False,"['worst', 'phone', 'samsungcrap', 'crappy', 'samsung', 'e715', 'worst', 'ever', 'seeen']"
the charger worked for about a week and then completely stopped charging my phone,0,False,"['charger', 'worked', 'week', 'completely', 'stopped', 'charging', 'phone']"
poor product,0,False,"['poor', 'product']"
however i needed some better instructions,0,False,"['however', 'needed', 'better', 'instructions']"
you need two hands to operate the screenthis software interface is decade old and cannot compete with new software designs,0,False,"['need', 'two', 'hands', 'operate', 'screenthis', 'software', 'interface', 'decade', 'old', 'cannot', 'compete', 'new', 'software', 'designs']"
worked very well paired with a treo 700w and as a skype headset on my pc using a usb bluetooth transceiver,1,False,"['worked', 'well', 'paired', 'treo', '700w', 'skype', 'headset', 'pc', 'using', 'usb', 'bluetooth', 'transceiver']"
steer clear of this product and go with the genuine palm replacementr pens which come in a threepack,0,False,"['steer', 'clear', 'product', 'go', 'genuine', 'palm', 'replacementr', 'pens', 'come', 'threepack']"
do not buy do not buyit sucks,0,False,"['buy', 'buyit', 'sucks']"
this is a great product sure beats using your fingers,1,False,"['great', 'product', 'sure', 'beats', 'using', 'fingers']"
plus i seriously do not believe it is worth its steep price point,0,False,"['plus', 'seriously', 'believe', 'worth', 'steep', 'price', 'point']"
all the other cases ive tried normally fall apart after a few months but this one seems to be in for the long haul,1,False,"['cases', 'ive', 'tried', 'normally', 'fall', 'apart', 'months', 'one', 'seems', 'long', 'haul']"
very dissapointing performance,0,False,"['dissapointing', 'performance']"
dont make the same mistake that i did and please dont buy this phone,0,False,"['dont', 'make', 'mistake', 'please', 'dont', 'buy', 'phone']"
this phone might well be the worst ive ever had in any brand,0,False,"['phone', 'might', 'well', 'worst', 'ive', 'ever', 'brand']"
case was more or less an extra that i originally put on but later discarded because it scratched my ear,0,False,"['case', 'less', 'extra', 'originally', 'put', 'later', 'discarded', 'scratched', 'ear']"
i recommend igo to anyone with different brand cell phonesmp3 players in the family,1,False,"['recommend', 'igo', 'anyone', 'different', 'brand', 'cell', 'phonesmp3', 'players', 'family']"
dont bother  go to the store,0,False,"['dont', 'bother', 'go', 'store']"
i posted more detailed comments under the grey or black phone but i have the fire red and its a great color,1,False,"['posted', 'detailed', 'comments', 'grey', 'black', 'phone', 'fire', 'red', 'great', 'color']"
i did not have any problem with this item and would order it again if needed,1,False,"['problem', 'item', 'would', 'order', 'needed']"
you get what you pay for i guess,0,False,"['get', 'pay', 'guess']"
not only did the software do a great job of this i could also make my own ringtones form my existing cds without an internet connection,1,False,"['software', 'great', 'job', 'could', 'also', 'make', 'ringtones', 'form', 'existing', 'cds', 'without', 'internet', 'connection']"
im surprised this is a good quality car charger and theres not much reviews about it,1,False,"['im', 'surprised', 'good', 'quality', 'car', 'charger', 'theres', 'much', 'reviews']"
these are fabulous,1,False,['fabulous']
however bt headsets are currently not good for real time games like firstperson shooters since the audio delay messes me up,0,False,"['however', 'bt', 'headsets', 'currently', 'good', 'real', 'time', 'games', 'like', 'firstperson', 'shooters', 'since', 'audio', 'delay', 'messes']"
i used bitpim a free program you can find on the internetto transfer data to the phonethe price of the cable was excellent,1,False,"['used', 'bitpim', 'free', 'program', 'find', 'internetto', 'transfer', 'data', 'phonethe', 'price', 'cable', 'excellent']"
disappointing accessory from a good manufacturer,0,False,"['disappointing', 'accessory', 'good', 'manufacturer']"
performed awful  muffled tinny incoming sound and severe echo for those on the other end of the call,0,False,"['performed', 'awful', 'muffled', 'tinny', 'incoming', 'sound', 'severe', 'echo', 'end', 'call']"
very windresistant,1,False,['windresistant']
obviously they have a terrible customer service so you get what you pay for,0,False,"['obviously', 'terrible', 'customer', 'service', 'get', 'pay']"
they do not last forever but is not overly expensive to replaceeasy to operate and the sound is much better than others i have tried,1,False,"['last', 'forever', 'overly', 'expensive', 'replaceeasy', 'operate', 'sound', 'much', 'better', 'others', 'tried']"
i contacted the company and they told me that although the unit was still under warranty if i couldnt produce my receipt i was out of luck,0,False,"['contacted', 'company', 'told', 'although', 'unit', 'still', 'warranty', 'couldnt', 'produce', 'receipt', 'luck']"
linksys should have some way to exchange a bad phone for a refurb unit or something,0,False,"['linksys', 'way', 'exchange', 'bad', 'phone', 'refurb', 'unit', 'something']"
phone is sturdy as all nokia bar phones are,1,False,"['phone', 'sturdy', 'nokia', 'bar', 'phones']"
great phone,1,False,"['great', 'phone']"
when i placed my treo into the case not only was it not snug but there was a lot of extra room on the sides,0,False,"['placed', 'treo', 'case', 'snug', 'lot', 'extra', 'room', 'sides']"
im pleased,1,False,"['im', 'pleased']"
battery is terrible,0,False,"['battery', 'terrible']"
i found the product to be easy to set up and use,1,False,"['found', 'product', 'easy', 'set', 'use']"
the earpiece on this is too large or too heavyit keeps falling out of my ear,0,False,"['earpiece', 'large', 'heavyit', 'keeps', 'falling', 'ear']"
utter crap sound quality is terrible,0,False,"['utter', 'crap', 'sound', 'quality', 'terrible']"
the charger arrived within the promised timeframe but it did not work,0,False,"['charger', 'arrived', 'within', 'promised', 'timeframe', 'work']"
no ear loop needed its tiny and the sound is great,1,False,"['ear', 'loop', 'needed', 'tiny', 'sound', 'great']"
finally after three or four times the spring of the latch broke and i could not use it any longer on the visor,0,False,"['finally', 'three', 'four', 'times', 'spring', 'latch', 'broke', 'could', 'use', 'longer', 'visor']"
the handsfree part works fine but then the car tries to download the address book and the treo rebootsoverall i still rate this device high,1,False,"['handsfree', 'part', 'works', 'fine', 'car', 'tries', 'download', 'address', 'book', 'treo', 'rebootsoverall', 'still', 'rate', 'device', 'high']"
talk about useless customer service,0,False,"['talk', 'useless', 'customer', 'service']"
it felt too light and tinny,0,False,"['felt', 'light', 'tinny']"
this does not fit the palm tungsten e2 and it broke the first time i tried to plug it in,0,False,"['fit', 'palm', 'tungsten', 'e2', 'broke', 'first', 'time', 'tried', 'plug']"
im happy about this purchase good quality and low price,1,False,"['im', 'happy', 'purchase', 'good', 'quality', 'low', 'price']"
i love the look and feel of samsung flipphones,1,False,"['love', 'look', 'feel', 'samsung', 'flipphones']"
its welldesigned and very sharp  the blue is a very nice color,1,False,"['welldesigned', 'sharp', 'blue', 'nice', 'color']"
does everything it should and more,1,False,['everything']
i could not recommend these more,0,False,"['could', 'recommend']"
nice sound,1,False,"['nice', 'sound']"
looks good in the picture but this case was a huge disappointment,0,False,"['looks', 'good', 'picture', 'case', 'huge', 'disappointment']"
much less than the jawbone i was going to replace it with,1,False,"['much', 'less', 'jawbone', 'going', 'replace']"
setup went very smoothly,1,False,"['setup', 'went', 'smoothly']"
its extremely slow and takes forever to do anything with it,0,False,"['extremely', 'slow', 'takes', 'forever', 'anything']"
a must study for anyone interested in the worst sins of industrial design,0,False,"['must', 'study', 'anyone', 'interested', 'worst', 'sins', 'industrial', 'design']"
the first thing that happened was that the tracking was off,0,False,"['first', 'thing', 'happened', 'tracking']"
it is well made easy to access the phone and has a handy detachable belt clip,1,False,"['well', 'made', 'easy', 'access', 'phone', 'handy', 'detachable', 'belt', 'clip']"
then i had to continue pairing it periodically since it somehow kept dropping,0,False,"['continue', 'pairing', 'periodically', 'since', 'somehow', 'kept', 'dropping']"
cant upload ringtones from a third party,0,False,"['cant', 'upload', 'ringtones', 'third', 'party']"
bluetooth does not work phone locks up screens just flash up and now it just makes calls randomly while in my pocket locked,0,False,"['bluetooth', 'work', 'phone', 'locks', 'screens', 'flash', 'makes', 'calls', 'randomly', 'pocket', 'locked']"
truly awful,0,False,"['truly', 'awful']"
it works fine on my motorola 325 cellphone and a lot better than the wornout battery did,1,False,"['works', 'fine', 'motorola', '325', 'cellphone', 'lot', 'better', 'wornout', 'battery']"
the volume for the ringer is real good you have choices how loud,1,False,"['volume', 'ringer', 'real', 'good', 'choices', 'loud']"
and none of the tones is acceptable,0,False,"['none', 'tones', 'acceptable']"
camera color balance is awful,0,False,"['camera', 'color', 'balance', 'awful']"
